Sample,ROI,Depolarization_Start_Time_s,Peak_Time_s,Amplitude,APD50_s,APD90_s,APD50_90_Ratio,Upstroke_Time_s,Repolarization_Time_s,Repolarization_Level
SUPH222P_PostISO002,#1 (Mono - Tx Red),1.861,1.941,0.011944132332046532,0.27100000000000013,0.3510000000000002,0.772079772079772,0.08000000000000007,2.212,0.020115699998858552
SUPH222P_PostISO002,#1 (Mono - Tx Red),2.862,2.922,0.011550427697568363,0.2599999999999998,0.2999999999999998,0.8666666666666665,0.06000000000000005,3.162,0.01325077833435335
SUPH222P_PostISO002,#1 (Mono - Tx Red),3.853,3.923,0.012882737489911728,0.2899999999999996,0.36999999999999966,0.7837837837837834,0.06999999999999984,4.223,0.007758222914418842
SUPH222P_PostISO002,#1 (Mono - Tx Red),5.214,5.314,0.013374784820170115,0.23999999999999932,0.3299999999999992,0.7272727272727271,0.09999999999999964,5.544,0.0056689949891640945
SUPH222P_PostISO002,#1 (Mono - Tx Red),5.864,5.924,0.012784824186917704,0.2709999999999999,0.36099999999999977,0.7506925207756235,0.0600000000000005,6.225,0.00403178938506194
SUPH222P_PostISO002,#1 (Mono - Tx Red),7.776,7.876,0.013022463937965217,0.2900000000000009,0.35999999999999943,0.8055555555555594,0.10000000000000053,8.136,0.003876567596064251
SUPH222P_PostISO002,#2 (Mono - Tx Red),0.841,0.931,0.01836481816040084,0.31000000000000005,0.8,0.38750000000000007,0.09000000000000008,1.641,0.0021396151145703455
SUPH222P_PostISO002,#2 (Mono - Tx Red),1.831,1.911,0.01744774480967883,0.31099999999999994,0.7810000000000001,0.3982074263764403,0.08000000000000007,2.612,0.0029881451003053623
SUPH222P_PostISO002,#2 (Mono - Tx Red),2.842,2.922,0.017207444230933407,0.29000000000000004,0.7709999999999999,0.3761348897535669,0.08000000000000007,3.613,0.00408729260157697
SUPH222P_PostISO002,#2 (Mono - Tx Red),3.833,3.923,0.016253360680316853,0.3099999999999996,0.71,0.43661971830985863,0.08999999999999986,4.543,0.00464405015175795
SUPH222P_PostISO002,#2 (Mono - Tx Red),6.825,6.925,0.017512287109917084,0.3199999999999994,0.7610000000000001,0.42049934296977576,0.09999999999999964,7.586,0.003373710319753704
SUPH222P_PostISO002,#2 (Mono - Tx Red),7.776,7.876,0.016289834289427936,0.3000000000000007,0.7799999999999994,0.38461538461538586,0.10000000000000053,8.556,0.0045062785040591805
SUPH222P_PostISO002,#3 (Mono - Tx Red),0.821,0.881,0.0012225669558145079,0.72,0.74,0.9729729729729729,0.06000000000000005,1.561,0.0022336856420113694
SUPH222P_PostISO002,#3 (Mono - Tx Red),6.835,6.915,0.009709322014681694,0.3099999999999996,0.7110000000000003,0.43600562587904285,0.08000000000000007,7.546,0.0023463731816328022
SUPH222P_PostISO002,#3 (Mono - Tx Red),7.766,7.866,0.010129101918366969,0.3200000000000003,0.9309999999999992,0.34371643394199847,0.09999999999999964,8.697,0.0017505109850475943
SUPH222P_PostISO002,#3 (Mono - Tx Red),8.857,8.937,0.009804709796703566,0.2900000000000009,0.7100000000000009,0.4084507042253529,0.08000000000000007,9.567,0.0022616665042192964
SUPH222P_PostISO002,#4 (Mono - Tx Red),1.831,1.921,0.013735634293823405,0.31099999999999994,0.7509999999999999,0.4141145139813582,0.09000000000000008,2.582,0.004043877273024611
SUPH222P_PostISO002,#4 (Mono - Tx Red),2.862,2.922,0.013445638070145038,0.2799999999999998,0.681,0.41116005873715095,0.06000000000000005,3.543,0.00437724935755511
SUPH222P_PostISO002,#4 (Mono - Tx Red),3.843,3.923,0.014211266844597127,0.2999999999999998,0.6699999999999999,0.44776119402985054,0.08000000000000007,4.513,0.004554631013208294
SUPH222P_PostISO002,#4 (Mono - Tx Red),5.864,5.935,0.013493612254737688,0.2809999999999997,0.641,0.4383775351014036,0.07099999999999973,6.505,0.004477530733316816
SUPH222P_PostISO002,#4 (Mono - Tx Red),7.776,7.836,0.011154282522501658,0.3200000000000003,0.8610000000000007,0.37166085946573757,0.0600000000000005,8.637,0.004004008272781507
SUPH222P_PostISO002,#4 (Mono - Tx Red),8.857,8.927,0.013173651276605332,0.2900000000000009,0.6400000000000006,0.45312500000000105,0.07000000000000028,9.497,0.004178133268721103
SUPH222P_PostISO002,#5 (Mono - Tx Red),2.852,2.922,0.017865643178950574,0.29000000000000004,0.7909999999999999,0.3666245259165614,0.07000000000000028,3.643,0.004887035661032657
SUPH222P_PostISO002,#5 (Mono - Tx Red),3.853,3.923,0.017217048392208983,0.2899999999999996,0.6800000000000002,0.42647058823529344,0.06999999999999984,4.533,0.004760043711542872
SUPH222P_PostISO002,#5 (Mono - Tx Red),4.774,4.924,0.016958515311661218,0.3600000000000003,0.75,0.4800000000000004,0.15000000000000036,5.524,0.004684790609993395
SUPH222P_PostISO002,#5 (Mono - Tx Red),5.784,5.924,0.01609587474122807,0.36099999999999977,0.7210000000000001,0.5006934812760052,0.14000000000000057,6.505,0.004928886737354294
SUPH222P_PostISO002,#5 (Mono - Tx Red),6.845,6.945,0.015840196307659715,0.29100000000000037,0.6710000000000003,0.4336810730253357,0.10000000000000053,7.516,0.004477493190204239
SUPH222P_PostISO002,#5 (Mono - Tx Red),7.756,7.856,0.017220462836998646,0.3200000000000003,0.9510000000000005,0.3364879074658256,0.09999999999999964,8.707,0.003925203345160004
SUPH222P_PostISO002,#6 (Mono - Tx Red),0.871,0.951,0.01017591791377653,0.27,0.3400000000000001,0.7941176470588234,0.07999999999999996,1.211,0.0023725769508901188
SUPH222P_PostISO002,#6 (Mono - Tx Red),4.223,4.283,0.00815864167548723,0.23000000000000043,0.28000000000000025,0.8214285714285722,0.0600000000000005,4.503,0.0026318554109132216
SUPH222P_PostISO002,#6 (Mono - Tx Red),6.215,6.305,0.007644950556081984,0.2400000000000002,0.29000000000000004,0.8275862068965524,0.08999999999999986,6.505,0.002724057968941855
SUPH222P_PostISO002,#6 (Mono - Tx Red),6.855,6.925,0.011171710457032968,0.2699999999999996,0.34999999999999964,0.771428571428571,0.0699999999999994,7.205,0.002689671518282413
SUPH222P_PostISO002,#6 (Mono - Tx Red),8.216,8.276,0.009087064748887909,0.2900000000000009,0.33000000000000007,0.8787878787878814,0.0600000000000005,8.546,0.0026856519371407047
SUPH222P_PostISO002,#7 (Mono - Tx Red),0.19,0.29,0.008238566642031224,0.29,0.37000000000000005,0.7837837837837837,0.09999999999999998,0.56,0.0020272198354859875
SUPH222P_PostISO002,#7 (Mono - Tx Red),0.841,0.951,0.009106204678619315,0.29000000000000004,0.3800000000000001,0.7631578947368419,0.10999999999999999,1.221,0.002405822730815485
SUPH222P_PostISO002,#7 (Mono - Tx Red),1.861,1.931,0.009134351927320004,0.2609999999999999,0.34099999999999997,0.7653958944281523,0.07000000000000006,2.202,0.002048009817720157
SUPH222P_PostISO002,#7 (Mono - Tx Red),2.862,2.922,0.009074150570101792,0.27,0.33999999999999986,0.7941176470588239,0.06000000000000005,3.202,0.0021880866356057955
SUPH222P_PostISO002,#7 (Mono - Tx Red),6.215,6.295,0.00852099763125392,0.25,0.3799999999999999,0.6578947368421054,0.08000000000000007,6.595,0.0017275264953925354
SUPH222P_PostISO002,#7 (Mono - Tx Red),8.867,8.957,0.009127346526299013,0.2699999999999996,0.3199999999999985,0.8437500000000026,0.08999999999999986,9.187,0.002473141149946018
SUPH222P_PostISO002,#8 (Mono - Tx Red),0.841,0.931,0.011714023155289799,0.32000000000000006,0.6400000000000001,0.5,0.09000000000000008,1.481,0.0070342010245892875
SUPH222P_PostISO002,#8 (Mono - Tx Red),3.833,3.913,0.011952639116567925,0.33000000000000007,0.6499999999999995,0.5076923076923082,0.07999999999999963,4.483,0.005534719364165163
SUPH222P_PostISO002,#8 (Mono - Tx Red),4.814,4.934,0.011496302948630056,0.33000000000000007,0.6500000000000004,0.5076923076923076,0.1200000000000001,5.464,0.005171871984500852
SUPH222P_PostISO002,#8 (Mono - Tx Red),7.786,7.876,0.01212436779826074,0.3200000000000003,0.7300000000000004,0.4383561643835618,0.09000000000000075,8.516,0.0034007755220066167
SUPH222P_PostISO002,#9 (Mono - Tx Red),0.821,0.941,0.015500201067212373,0.3700000000000001,0.7,0.5285714285714288,0.12,1.521,0.0007557538150278049
SUPH222P_PostISO002,#9 (Mono - Tx Red),1.791,1.911,0.014658302022476906,0.3810000000000002,0.7709999999999999,0.494163424124514,0.1200000000000001,2.562,0.0005355730744387987
SUPH222P_PostISO002,#9 (Mono - Tx Red),2.832,2.982,0.015763270718907273,0.3700000000000001,0.7510000000000003,0.4926764314247669,0.15000000000000036,3.583,0.0006001908197688187
SUPH222P_PostISO002,#9 (Mono - Tx Red),5.814,5.894,0.011043932122696014,0.4009999999999998,0.7309999999999999,0.5485636114911079,0.08000000000000007,6.545,0.0008101021910959727
SUPH222P_PostISO002,#9 (Mono - Tx Red),6.825,6.915,0.014415633254276968,0.33999999999999986,0.7409999999999997,0.45883940620782726,0.08999999999999986,7.566,0.0012244389354387083
SUPH222P_PostISO002,#9 (Mono - Tx Red),7.796,7.896,0.014687117784628076,0.3099999999999996,0.8099999999999996,0.38271604938271575,0.09999999999999964,8.606,0.0014555029851198694
SUPH222P_PostISO002,#10 (Mono - Tx Red),0.831,0.921,0.012087587100918527,0.21999999999999997,0.28,0.7857142857142856,0.09000000000000008,1.111,0.006593017416556984
SUPH222P_PostISO002,#10 (Mono - Tx Red),1.841,1.911,0.012144591313266874,0.21100000000000008,0.2809999999999999,0.750889679715303,0.07000000000000006,2.122,0.0065833040666910736
SUPH222P_PostISO002,#10 (Mono - Tx Red),2.812,2.922,0.012450193546207777,0.2400000000000002,0.31000000000000005,0.7741935483870973,0.11000000000000032,3.122,0.005838668144708432
SUPH222P_PostISO002,#10 (Mono - Tx Red),3.843,3.913,0.011703394807600792,0.17999999999999972,0.27000000000000046,0.6666666666666645,0.06999999999999984,4.113,0.006479747406667805
SUPH222P_PostISO002,#10 (Mono - Tx Red),4.844,4.914,0.012436105052094326,0.20999999999999996,0.27999999999999936,0.7500000000000016,0.0699999999999994,5.124,0.006164636151318098
SUPH222P_PostISO002,#10 (Mono - Tx Red),5.764,5.914,0.01252848946149876,0.2809999999999997,0.36099999999999977,0.7783933518005537,0.14999999999999947,6.125,0.005989853750870973
SUPH222P_PostISO002,#10 (Mono - Tx Red),6.835,6.915,0.012807290678909638,0.20000000000000018,0.27000000000000046,0.7407407407407401,0.08000000000000007,7.105,0.006593683572919477
SUPH222P_PostISO002,#10 (Mono - Tx Red),7.746,7.856,0.011061329422834481,0.22999999999999954,0.3099999999999987,0.7419354838709693,0.10999999999999943,8.056,0.006672585416876182
SUPH222P_PostISO002,#10 (Mono - Tx Red),8.827,8.917,0.011937120828324231,0.22000000000000064,0.3000000000000007,0.7333333333333337,0.08999999999999986,9.127,0.005459563407048786
CRISPH222P_PreISO011,#1 (Mono - Tx Red),0.31,0.44,0.00923227567830906,0.27999999999999997,0.40099999999999997,0.6982543640897756,0.13,0.711,0.0019659410814175976
CRISPH222P_PreISO011,#1 (Mono - Tx Red),0.781,0.911,0.009294739606507901,0.22999999999999987,0.29999999999999993,0.7666666666666664,0.13,1.081,0.002162996073020853
CRISPH222P_PreISO011,#1 (Mono - Tx Red),1.691,1.781,0.009156541141944724,0.23099999999999987,0.32099999999999995,0.7196261682242988,0.08999999999999986,2.012,0.0019711601344470225
CRISPH222P_PreISO011,#1 (Mono - Tx Red),2.132,2.242,0.009717971466550065,0.2799999999999998,0.3500000000000001,0.7999999999999993,0.10999999999999988,2.482,0.002165830060730261
CRISPH222P_PreISO011,#1 (Mono - Tx Red),2.632,2.742,0.009739729145565543,0.23999999999999977,0.31999999999999984,0.7499999999999997,0.10999999999999988,2.952,0.002176933681152389
CRISPH222P_PreISO011,#1 (Mono - Tx Red),3.082,3.182,0.009950458161343611,0.28100000000000014,0.371,0.7574123989218333,0.10000000000000009,3.453,0.001943187513664781
CRISPH222P_PreISO011,#1 (Mono - Tx Red),3.553,3.683,0.010054962201169328,0.25,0.3799999999999999,0.6578947368421054,0.1299999999999999,3.933,0.001958454213072054
CRISPH222P_PreISO011,#1 (Mono - Tx Red),3.983,4.113,0.009334838452623225,0.2899999999999996,0.36999999999999966,0.7837837837837834,0.13000000000000034,4.353,0.0022552467955951677
CRISPH222P_PreISO011,#1 (Mono - Tx Red),4.443,4.584,0.009860417227358288,0.2610000000000001,0.351,0.743589743589744,0.14100000000000001,4.794,0.00244646393236867
CRISPH222P_PreISO011,#1 (Mono - Tx Red),4.944,5.034,0.009625384975143142,0.25,0.34999999999999964,0.714285714285715,0.08999999999999986,5.294,0.0022895810157554965
CRISPH222P_PreISO011,#1 (Mono - Tx Red),5.404,5.524,0.009253617604112887,0.2400000000000002,0.3100000000000005,0.7741935483870962,0.1200000000000001,5.714,0.0023479995210421993
CRISPH222P_PreISO011,#1 (Mono - Tx Red),5.854,5.985,0.00961123877819331,0.2610000000000001,0.37099999999999955,0.7035040431266858,0.13100000000000023,6.225,0.0019962573857001814
CRISPH222P_PreISO011,#1 (Mono - Tx Red),6.285,6.425,0.009564356388757578,0.2599999999999998,0.33999999999999986,0.7647058823529409,0.13999999999999968,6.625,0.0021918723053243145
CRISPH222P_PreISO011,#1 (Mono - Tx Red),6.705,6.865,0.008990132330667863,0.28000000000000025,0.41999999999999993,0.6666666666666674,0.16000000000000014,7.125,0.001930558192520938
CRISPH222P_PreISO011,#1 (Mono - Tx Red),7.175,7.316,0.010339162965047135,0.2610000000000001,0.37100000000000044,0.7035040431266841,0.14100000000000001,7.546,0.001952957003103912
CRISPH222P_PreISO011,#1 (Mono - Tx Red),7.696,7.776,0.009681737781236887,0.2400000000000002,0.34999999999999964,0.685714285714287,0.08000000000000007,8.046,0.0019668724393255947
CRISPH222P_PreISO011,#1 (Mono - Tx Red),8.126,8.236,0.009419695622008128,0.25,0.3500000000000014,0.7142857142857114,0.11000000000000121,8.476,0.002440778187464067
CRISPH222P_PreISO011,#1 (Mono - Tx Red),9.057,9.187,0.009194046320670808,0.25,0.3699999999999992,0.6756756756756771,0.129999999999999,9.427,0.002123133011422257
